StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5_1_TEXT,Q6,TLX_W_1,TLX_W_2,TLX_W_3,TLX_W_4,TLX_W_5,TLX_W_6,TLX_W_7,TLX_W_8,TLX_W_9,TLX_W_10,TLX_W_11,TLX_W_12,TLX_W_13,TLX_W_14,TLX_W_15,TLX_Mental_1,TLX_Physical_1,TLX_Temporal_1,TLX_Performance_1,TLX_Effort_1,TLX_Frustration_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participant ID:,What is your age?,What is your gender?,Do you wear corrective lenses?,"Do you have any eye conditions such as glaucoma, eye implants, or permanent dilation? If yes, which? - Selected Choice","Do you have any eye conditions such as glaucoma, eye implants, or permanent dilation? If yes, which? - Yes - Text",How many days a week do you drive on average?,Select which factor was more important to your experience of workload in the study you just finished. - Effort:Performance,Select which factor was more important to your experience of workload in the study you just finished. - Temporal Demand:Frustration,Select which factor was more important to your experience of workload in the study you just finished. - Temporal Demand:Effort,Select which factor was more important to your experience of workload in the study you just finished. - Physical Demand:Frustration,Select which factor was more important to your experience of workload in the study you just finished. - Performance:Frustration,Select which factor was more important to your experience of workload in the study you just finished. - Physical Demand:Temporal Demand,Select which factor was more important to your experience of workload in the study you just finished. - Physical Demand:Performance,Select which factor was more important to your experience of workload in the study you just finished. - Temporal Demand:Mental Demand,Select which factor was more important to your experience of workload in the study you just finished. - Frustration:Effort,Select which factor was more important to your experience of workload in the study you just finished. - Performance:Mental Demand,Select which factor was more important to your experience of workload in the study you just finished. - Performance:Temporal Demand,Select which factor was more important to your experience of workload in the study you just finished. - Mental Demand:Effort,Select which factor was more important to your experience of workload in the study you just finished. - Mental Demand:Physical Demand,Select which factor was more important to your experience of workload in the study you just finished. - Effort:Physical Demand,Select which factor was more important to your experience of workload in the study you just finished. - Frustration:Mental Demand,Mental Demand - 1,Physical Demand - 1,Temporal Demand - 1,Performance - 1,Effort - 1,Frustration - 1
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_1_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID1716920531_1""}","{""ImportId"":""QID1716920531_2""}","{""ImportId"":""QID1716920531_3""}","{""ImportId"":""QID1716920531_4""}","{""ImportId"":""QID1716920531_5""}","{""ImportId"":""QID1716920531_6""}","{""ImportId"":""QID1716920531_7""}","{""ImportId"":""QID1716920531_8""}","{""ImportId"":""QID1716920531_9""}","{""ImportId"":""QID1716920531_10""}","{""ImportId"":""QID1716920531_11""}","{""ImportId"":""QID1716920531_12""}","{""ImportId"":""QID1716920531_13""}","{""ImportId"":""QID1716920531_14""}","{""ImportId"":""QID1716920531_15""}","{""ImportId"":""QID1716920525_1""}","{""ImportId"":""QID1716920526_1""}","{""ImportId"":""QID1716920527_1""}","{""ImportId"":""QID1716920528_1""}","{""ImportId"":""QID1716920529_1""}","{""ImportId"":""QID1716920530_1""}"
2023-11-14 13:22:16,2023-11-14 13:22:56,IP Address,198.21.228.37,100,40,True,2023-11-14 13:22:56,R_3h4PdkvJvghJc3a,,,,,34.6796,-82.9325,anonymous,EN,0,25,Male,"Yes, glasses",No,,7,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,28,58,39,84,23,40
2023-11-17 14:46:11,2023-11-17 15:14:07,IP Address,130.127.48.177,100,1675,True,2023-11-17 15:14:08,R_1rMsIA92VSMW5rz,,,,,34.7441,-82.7948,anonymous,EN,1,23,Male,"Yes, glasses",No,,5,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,49,,69,,26,
2023-11-20 13:45:25,2023-11-20 14:18:43,IP Address,130.127.48.177,100,1997,True,2023-11-20 14:18:44,R_55OO2nGRWwnhamt,,,,,34.7441,-82.7948,anonymous,EN,2,31,Male,No,No,,7,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,48,4,44,23,42,17
2023-11-20 14:18:52,2023-11-20 14:28:41,IP Address,130.127.48.177,100,588,True,2023-11-20 14:28:41,R_1odkOfzplOfC7U1,,,,,34.7441,-82.7948,anonymous,EN,3,26,Female,No,No,,7,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,26,9,31,21,30,16
2023-11-20 14:28:47,2023-11-20 14:44:32,IP Address,130.127.48.177,100,945,True,2023-11-20 14:44:32,R_2E3GtvlkRgxIKmX,,,,,34.7441,-82.7948,anonymous,EN,4,,Prefer not to say,"Yes, glasses",No,,7,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,84,9,85,11,85,10
2023-11-20 14:55:55,2023-11-20 15:10:20,IP Address,130.127.48.177,100,865,True,2023-11-20 15:10:20,R_1HdDMRgTMgTUUUQ,,,,,34.7441,-82.7948,anonymous,EN,5,23,Male,No,No,,7,2,1,1,1,1,2,2,2,2,2,2,1,1,1,2,97,,100,24,72,
2023-11-20 15:10:42,2023-11-20 15:23:16,IP Address,130.127.48.177,100,753,True,2023-11-20 15:23:16,R_31aB9MxZQ8Ukd4e,,,,,34.7441,-82.7948,anonymous,EN,6,31,Male,No,No,,7,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,93,17,57,56,95,4
2023-11-20 15:33:07,2023-11-20 15:43:34,IP Address,130.127.48.177,100,627,True,2023-11-20 15:43:35,R_2bZVy8rYvV4aKlb,,,,,34.7441,-82.7948,anonymous,EN,7,28,Male,"Yes, glasses",No,,7,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,60,29,100,0,23,5
2023-11-20 15:43:42,2023-11-20 15:54:21,IP Address,130.127.48.177,100,639,True,2023-11-20 15:54:22,R_2c60mW7q3Ie8KFt,,,,,34.7441,-82.7948,anonymous,EN,8,27,Male,"Yes, glasses",No,,7,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,50,51,53,53,69,39
2023-11-30 16:25:19,2023-11-30 16:44:41,IP Address,130.127.48.177,100,1162,True,2023-11-30 16:44:42,R_1QErIiX7lAAgFO0,,,,,34.7441,-82.7948,anonymous,EN,10,21,Male,No,No,,6,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,77,46,13,28,79,3
2023-11-30 16:26:17,2023-11-30 16:46:04,IP Address,130.127.48.178,100,1186,True,2023-11-30 16:46:05,R_31WBahIXDbGpWbz,,,,,34.7441,-82.7948,anonymous,EN,9,21,Male,"Yes, contacts",No,,5,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,93,,75,24,80,7
2023-12-01 14:14:30,2023-12-01 14:43:40,IP Address,130.127.48.177,100,1750,True,2023-12-01 14:43:41,R_2PifyZuZyXGwYii,,,,,34.7441,-82.7948,anonymous,EN,11,23,Male,No,No,,7,1,1,2,2,1,2,2,2,2,1,1,2,1,1,2,51,3,71,73,39,8
2023-12-01 14:44:40,2023-12-01 14:56:46,IP Address,130.127.48.177,100,725,True,2023-12-01 14:56:47,R_8kW11jKRGq7ElC9,,,,,34.7441,-82.7948,anonymous,EN,12,21,Female,"Yes, glasses",No,,7,1,1,1,2,1,2,2,2,1,2,2,1,1,1,2,31,0,45,57,46,47
2023-12-01 15:07:08,2023-12-01 15:11:14,IP Address,130.127.48.177,100,246,True,2023-12-01 15:11:15,R_32SbIn0BV7FvsyM,,,,,34.7441,-82.7948,anonymous,EN,13,23,Male,"Yes, glasses",No,,7,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,50,2,81,34,22,34
2023-12-01 15:11:47,2023-12-01 15:20:43,IP Address,130.127.48.177,100,535,True,2023-12-01 15:20:44,R_3kgBVHlyGxv5u4v,,,,,34.7441,-82.7948,anonymous,EN,14,24,Male,No,No,,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,98,16,97,6,94,1
2023-12-01 15:35:09,2023-12-01 15:50:04,IP Address,130.127.48.177,100,895,True,2023-12-01 15:50:05,R_SI6V8QnjqOZTemt,,,,,34.7441,-82.7948,anonymous,EN,15,20,Female,No,No,,5,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,31,3,29,1,34,17
