subj,shot,timestamp,K
1,set_1,0.295768,-0.458266
1,set_1,0.328668,0.089746
1,set_1,0.377939,-4.204536
1,set_1,0.476590,-0.121498
1,set_1,0.525756,-0.199358
1,set_1,0.575065,-0.411903
1,set_1,0.640773,-0.650849
1,set_1,0.706501,0.350049
1,set_1,0.903568,2.419874
1,set_1,1.166527,-5.340540
1,set_1,1.297943,0.420450
1,set_1,1.462251,-2.023369
1,set_1,1.560730,-2.330359
1,set_1,1.642933,-1.402455
1,set_1,1.708670,0.207417
1,set_1,1.905773,0.904212
1,set_1,2.037164,0.532985
1,set_1,2.102875,3.409110
1,set_1,2.497267,0.830103
1,set_1,2.710794,-0.234861
1,set_1,2.743579,-2.806678
1,set_1,2.858606,-0.147897
1,set_1,2.957318,0.618900
1,set_1,3.121458,-0.502196
1,set_1,3.236499,3.670632
1,set_1,3.663528,-0.206341
1,set_1,3.729327,0.249975
1,set_1,3.811547,1.177890
1,set_1,3.975818,-0.080640
1,set_1,4.074343,-0.619361
1,set_1,4.172944,0.162761
1,set_1,4.304374,-2.684184
1,set_1,4.517928,0.165055
1,set_1,4.550809,2.375713
1,set_1,4.895771,2.775665
1,set_1,5.191550,1.532885
1,set_1,5.503699,0.648212
1,set_1,5.700707,2.883482
1,set_1,6.078649,0.637720
1,set_1,6.177226,-2.421557
1,set_1,6.292306,-0.127540
1,set_1,6.325149,0.460023
1,set_1,6.423568,0.063245
1,set_1,6.472959,-0.784997
1,set_1,6.571472,-0.075726
1,set_1,6.637275,0.402738
1,set_1,6.818006,-0.089774
1,set_1,6.867324,-0.241116
1,set_1,7.047875,-0.106471
1,set_1,7.212199,0.734419
1,set_1,7.310748,1.978669
1,set_1,7.507940,-2.605009
1,set_1,7.655779,-0.523542
1,set_1,7.721598,-0.653047
1,set_1,7.803651,0.914618
1,set_1,7.984305,1.226918
1,set_1,8.230896,0.969236
1,set_1,8.460682,1.797709
1,set_1,8.723775,-0.866199
1,set_1,8.838637,0.773257
1,set_1,8.970122,-2.558188
1,set_1,9.101570,0.194589
1,set_1,9.134270,-0.179941
1,set_1,9.183721,1.120840
1,set_1,9.364403,0.410162
1,set_1,9.479437,0.335154
1,set_1,9.643753,-0.599250
1,set_1,9.725878,-1.607496
1,set_1,9.824472,0.135562
1,set_1,10.202300,2.806373
1,set_1,10.580041,0.842148
1,set_1,10.777211,-0.663965
1,set_1,10.842888,-0.404446
1,set_1,10.974422,-0.842298
1,set_1,11.023715,0.350747
1,set_1,11.171631,-1.630440
1,set_1,11.417927,-0.416902
1,set_1,11.450710,1.099295
1,set_1,11.615099,1.099295
1,set_2,0.049165,0.099617
1,set_2,0.082080,-2.760872
1,set_2,0.312065,0.461252
1,set_2,0.377724,-0.078849
1,set_2,0.443449,-0.081400
1,set_2,0.492752,-0.658607
1,set_2,0.574940,-3.657363
1,set_2,0.739215,-1.355897
1,set_2,0.821372,-0.714628
1,set_2,0.854138,-1.412957
1,set_2,0.969182,0.365025
1,set_2,1.034913,-2.130540
1,set_2,1.117132,-1.364258
1,set_2,1.149849,-0.490539
1,set_2,1.265029,-0.465494
1,set_2,1.412737,0.320394
1,set_2,1.560607,0.132435
1,set_2,1.642595,-0.050222
1,set_2,1.675561,-3.197231
1,set_2,1.790732,0.076485
1,set_2,1.823439,3.148665
1,set_2,2.102854,-0.179867
1,set_2,2.217645,2.566265
1,set_2,2.497074,1.658126
1,set_2,2.743420,1.310379
1,set_2,3.006192,-0.226740
1,set_2,3.088580,0.458863
1,set_2,3.170609,0.599082
1,set_2,3.285627,0.997415
1,set_2,3.417179,2.573502
1,set_2,3.647020,0.189101
1,set_2,3.679909,-1.794244
1,set_2,3.794929,0.062379
1,set_2,3.827627,0.354830
1,set_2,3.877178,0.550657
1,set_2,3.991910,0.164106
1,set_2,4.041490,-0.058373
1,set_2,4.156309,0.710041
1,set_2,4.222159,1.922078
1,set_2,4.369912,-1.643129
1,set_2,4.485003,0.162908
1,set_2,4.517835,2.939162
1,set_2,4.895709,-0.215699
1,set_2,4.928607,0.107391
1,set_2,4.977760,0.004759
1,set_2,5.010733,1.353843
1,set_2,5.273511,1.353843
1,set_3,0.049287,0.171773
1,set_3,0.082117,0.674449
1,set_3,0.197252,-3.054624
1,set_3,0.344955,-0.195755
1,set_3,0.377958,0.987678
1,set_3,0.509360,0.523017
1,set_3,0.640733,-3.050952
1,set_3,0.837916,0.913580
1,set_3,1.067914,-2.479129
1,set_3,1.314305,-1.811642
1,set_3,1.445739,2.184970
1,set_3,1.708617,-1.192499
1,set_3,1.790773,-2.505893
1,set_3,1.889212,-1.630154
1,set_3,1.987808,-0.800270
1,set_3,2.267118,0.297185
1,set_3,2.299947,0.199220
1,set_3,2.447882,-0.076391
1,set_3,2.513525,-0.485326
1,set_3,2.612087,1.887925
1,set_3,2.858560,5.037127
1,set_3,3.351325,-1.773605
1,set_3,3.532192,-0.287196
1,set_3,3.597736,0.157752
1,set_3,3.696422,3.071454
1,set_3,3.975695,1.581170
1,set_3,4.255052,0.166199
1,set_3,4.337075,1.403846
1,set_3,4.534365,0.788290
1,set_3,4.616413,0.310157
1,set_3,4.665753,0.025505
1,set_3,4.797174,-2.248867
1,set_3,4.928467,-0.139183
1,set_3,5.027193,-0.442723
1,set_3,5.125660,0.941802
1,set_3,5.306384,1.886643
1,set_3,5.552957,-0.359223
1,set_3,5.635076,-0.295560
1,set_3,5.700764,-0.035276
1,set_3,5.782759,-0.224625
1,set_3,5.832108,0.118440
1,set_3,5.914222,2.577760
1,set_3,6.193618,1.381927
1,set_3,6.423564,-0.163477
1,set_3,6.505820,-0.169896
1,set_3,6.604255,-0.476060
1,set_3,6.817743,1.334759
1,set_3,7.064256,0.953037
1,set_3,7.146562,-3.408614
1,set_3,7.277938,-0.675387
1,set_3,7.310764,-0.732756
1,set_3,7.343739,0.062214
1,set_3,7.491506,-0.193998
1,set_3,7.557051,0.026814
1,set_3,7.705069,0.026814
1,set_4,0.081774,-0.256459
1,set_4,0.180298,-4.040947
1,set_4,0.295347,0.224185
1,set_4,0.328252,-0.332719
1,set_4,0.377492,0.075132
1,set_4,0.443172,-1.327647
1,set_4,0.525339,0.072499
1,set_4,0.821081,1.214693
1,set_4,1.083978,-0.090538
1,set_4,1.231830,0.269495
1,set_4,1.396126,-0.783823
1,set_4,1.527542,-0.401657
1,set_4,1.626113,0.269280
1,set_4,1.773957,3.086996
1,set_4,2.118977,0.318952
1,set_4,2.201044,-3.016779
1,set_4,2.332500,-2.593785
