subj,shot,mag,amp,dur,timestamp
1,set_1,1.534720,29.893882,0.049193,10.350156
1,set_2,1.311618,28.538616,0.065732,2.283486
1,set_2,1.126646,30.606557,0.049234,5.092876
1,set_3,1.951706,34.464205,0.065761,0.887122
1,set_3,1.590180,41.271280,0.082001,4.025078
1,set_3,1.550883,32.685573,0.049299,5.388461
1,set_4,1.867320,42.292630,0.065667,2.924035
1,set_4,1.794223,41.415232,0.065684,6.308251
1,set_4,1.519253,54.420391,0.065725,8.279709
1,set_4,1.081208,30.334043,0.049440,14.966047
1,set_4,1.989038,43.683075,0.082142,16.050361
1,set_4,1.181761,27.590812,0.065650,17.693241
1,set_4,1.341679,28.022714,0.081937,18.777631
1,set_4,1.101176,21.598267,0.049229,19.467614
1,set_4,1.044337,20.339253,0.049293,19.533321
1,set_4,1.515311,38.681534,0.049261,21.143381
1,set_4,1.533188,46.294523,0.049396,23.738942
1,set_4,1.463997,32.363092,0.065688,37.341823
1,set_4,1.322925,32.138214,0.065677,39.839122
1,set_4,1.134790,19.188175,0.049368,43.173983
1,set_4,1.533975,38.619688,0.065613,44.077663
1,set_5,0.440367,23.092139,0.098578,0.377892
1,set_5,1.084963,42.002094,0.082253,2.283584
1,set_5,0.657398,15.326885,0.049113,3.680109
1,set_5,1.061314,28.769663,0.049298,8.608707
1,set_5,1.305357,29.820782,0.082288,9.134299
1,set_5,1.944952,37.948880,0.049384,9.462930
1,set_5,0.818430,18.975849,0.065522,10.875894
1,set_5,1.123914,45.896885,0.049262,11.647979
