subj,shot,mag,amp,dur,timestamp
1,set_1,11.550116,327.493436,0.049189,0.410792
1,set_1,10.566980,240.238707,0.049321,1.215776
1,set_1,16.411455,476.899609,0.065759,4.435740
1,set_1,10.860434,293.629947,0.049334,6.226543
1,set_1,11.782030,292.171127,0.049347,7.557062
1,set_1,14.068479,329.698102,0.049353,9.019403
1,set_1,11.836659,310.513242,0.049150,10.120197
1,set_1,13.050197,284.367855,0.049261,11.335781
1,set_3,12.621547,270.223428,0.049331,0.262878
1,set_3,13.134920,258.538717,0.065873,1.199138
1,set_3,12.933253,318.936755,0.065692,3.384373
1,set_3,12.497537,255.257494,0.065782,4.829956
1,set_3,11.271998,203.686806,0.049267,6.735714
1,set_3,13.807720,350.746062,0.065691,7.179359
1,set_4,12.248252,299.603645,0.082116,4.813252
1,set_4,10.173270,287.600249,0.049367,6.193130
1,set_4,11.042603,272.918914,0.049338,9.101035
1,set_4,10.020360,303.628766,0.049277,10.776687
1,set_4,12.805291,344.624752,0.065791,12.091014
1,set_4,14.588165,310.154287,0.049245,13.175495
1,set_4,14.688931,369.708871,0.049458,15.261800
1,set_4,10.900435,271.536196,0.065737,20.272561
1,set_4,11.497332,283.637320,0.065750,24.166143
1,set_4,9.729660,201.374956,0.049273,26.351190
1,set_4,18.722296,401.832580,0.049386,27.484712
1,set_4,14.212407,355.526495,0.049318,31.427593
1,set_4,11.140475,252.288773,0.065733,36.832559
1,set_4,14.233008,401.099611,0.065613,42.155641
1,set_4,10.947912,242.786740,0.065784,43.305402
1,set_5,9.256442,230.580920,0.049290,1.314339
1,set_5,11.391493,275.331662,0.049273,2.464297
1,set_5,12.049399,322.997907,0.049304,3.088574
1,set_5,15.756021,360.085470,0.049281,4.123596
1,set_5,14.333785,318.036625,0.049259,5.782913
1,set_5,11.720818,265.321231,0.049213,7.162938
1,set_5,10.691306,245.753188,0.065562,8.378751
1,set_5,15.195427,295.152626,0.049197,9.627221
1,set_5,22.425453,443.386025,0.065667,11.450784
